epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1567420090675,2019-09-02T03:28:10.675,0.000,14.939,-13.354,0.488
1567420090675,2019-09-02T03:28:10.675,0.000,15.061,-18.963,-4.634
1567420090675,2019-09-02T03:28:10.675,0.000,15.610,-25.061,-7.927
1567420090767,2019-09-02T03:28:10.767,0.092,16.280,-28.720,-8.049
1567420090767,2019-09-02T03:28:10.767,0.092,16.585,-30.732,-7.073
1567420090767,2019-09-02T03:28:10.767,0.092,15.915,-31.707,-6.768
1567420090829,2019-09-02T03:28:10.829,0.154,15.366,-30.610,-6.890
1567420090829,2019-09-02T03:28:10.829,0.154,16.220,-27.805,-6.524
1567420090829,2019-09-02T03:28:10.829,0.154,20.000,-23.232,-4.207
1567420090868,2019-09-02T03:28:10.868,0.193,25.427,-17.683,-1.159
1567420090868,2019-09-02T03:28:10.868,0.193,28.293,-15.732,-1.646
1567420090868,2019-09-02T03:28:10.868,0.193,26.646,-20.366,-6.402
1567420090905,2019-09-02T03:28:10.905,0.230,19.634,-31.402,-10.671
1567420090905,2019-09-02T03:28:10.905,0.230,11.159,-39.207,-15.793
1567420090905,2019-09-02T03:28:10.905,0.230,5.183,-42.805,-19.451
1567420090932,2019-09-02T03:28:10.932,0.257,2.073,-44.695,-19.695
1567420090932,2019-09-02T03:28:10.932,0.257,1.890,-43.049,-16.951
1567420090932,2019-09-02T03:28:10.932,0.257,6.159,-37.317,-12.622
1567420090968,2019-09-02T03:28:10.968,0.293,14.085,-27.683,-7.988
1567420090968,2019-09-02T03:28:10.968,0.293,20.183,-19.451,-5.732
1567420090968,2019-09-02T03:28:10.968,0.293,20.610,-17.866,-9.085
1567420091014,2019-09-02T03:28:11.014,0.339,14.512,-28.354,-16.463
1567420091014,2019-09-02T03:28:11.014,0.339,6.768,-45.671,-21.951
1567420091014,2019-09-02T03:28:11.014,0.339,1.707,-55.854,-24.878
1567420091063,2019-09-02T03:28:11.063,0.388,-2.256,-60.305,-24.024
1567420091063,2019-09-02T03:28:11.063,0.388,-4.512,-64.939,-20.854
1567420091063,2019-09-02T03:28:11.063,0.388,-3.293,-56.890,-15.793
1567420091101,2019-09-02T03:28:11.101,0.426,0.427,-39.573,-8.902
1567420091101,2019-09-02T03:28:11.101,0.426,7.439,-24.146,-3.841
1567420091101,2019-09-02T03:28:11.101,0.426,12.622,-17.744,-0.244
1567420091138,2019-09-02T03:28:11.138,0.463,12.927,-20.000,-0.305
1567420091138,2019-09-02T03:28:11.138,0.463,12.805,-21.402,-0.793
1567420091138,2019-09-02T03:28:11.138,0.463,11.463,-34.390,1.890
1567420091175,2019-09-02T03:28:11.175,0.500,8.354,-57.195,3.963
1567420091175,2019-09-02T03:28:11.175,0.500,7.317,-70.915,2.439
1567420091175,2019-09-02T03:28:11.175,0.500,15.976,-49.939,1.220
1567420091213,2019-09-02T03:28:11.213,0.538,22.012,-14.695,5.549
1567420091213,2019-09-02T03:28:11.213,0.538,22.500,-14.451,7.683
1567420091213,2019-09-02T03:28:11.213,0.538,24.024,-28.232,8.171
1567420091249,2019-09-02T03:28:11.249,0.574,16.951,-3.902,-2.317
1567420091249,2019-09-02T03:28:11.249,0.574,19.451,32.073,-20.854
1567420091249,2019-09-02T03:28:11.249,0.574,57.012,60.183,-1.890
1567420091285,2019-09-02T03:28:11.285,0.610,85.305,43.659,26.707
1567420091285,2019-09-02T03:28:11.285,0.610,74.268,-5.915,31.402
1567420091285,2019-09-02T03:28:11.285,0.610,61.159,-53.415,61.890
1567420091320,2019-09-02T03:28:11.320,0.645,54.695,-69.634,100.549
1567420091320,2019-09-02T03:28:11.320,0.645,47.317,-62.683,125.122
1567420091320,2019-09-02T03:28:11.320,0.645,42.256,-53.354,137.622
1567420091360,2019-09-02T03:28:11.360,0.685,35.488,-49.695,151.707
1567420091360,2019-09-02T03:28:11.360,0.685,22.378,-47.866,163.720
1567420091360,2019-09-02T03:28:11.360,0.685,8.720,-43.537,169.512
1567420091410,2019-09-02T03:28:11.410,0.735,-8.415,-45.427,167.683
1567420091410,2019-09-02T03:28:11.410,0.735,-23.049,-33.415,161.768
1567420091410,2019-09-02T03:28:11.410,0.735,-36.098,-22.500,156.402
1567420091448,2019-09-02T03:28:11.448,0.773,-54.878,-21.829,149.878
1567420091448,2019-09-02T03:28:11.448,0.773,-75.854,-22.256,140.000
1567420091448,2019-09-02T03:28:11.448,0.773,-95.427,-12.683,129.878
1567420091492,2019-09-02T03:28:11.492,0.817,-104.634,14.756,118.171
1567420091492,2019-09-02T03:28:11.492,0.817,-104.024,42.195,103.110
1567420091492,2019-09-02T03:28:11.492,0.817,-107.317,46.463,95.122
1567420091551,2019-09-02T03:28:11.551,0.876,-117.012,39.634,92.195
1567420091551,2019-09-02T03:28:11.551,0.876,-129.512,42.134,92.073
1567420091551,2019-09-02T03:28:11.551,0.876,-130.427,66.037,81.402
1567420091588,2019-09-02T03:28:11.588,0.913,-119.207,83.049,64.634
1567420091588,2019-09-02T03:28:11.588,0.913,-117.988,61.890,53.232
1567420091588,2019-09-02T03:28:11.588,0.913,-124.756,48.598,47.744
1567420091626,2019-09-02T03:28:11.626,0.951,-117.378,75.488,36.707
1567420091626,2019-09-02T03:28:11.626,0.951,-99.878,92.927,24.756
1567420091626,2019-09-02T03:28:11.626,0.951,-98.598,65.671,23.232
1567420091665,2019-09-02T03:28:11.665,0.990,-99.390,42.683,15.854
1567420091665,2019-09-02T03:28:11.665,0.990,-88.841,58.293,0.427
1567420091665,2019-09-02T03:28:11.665,0.990,-66.768,88.780,-11.585
1567420091713,2019-09-02T03:28:11.713,1.038,-65.671,79.512,-6.768
1567420091713,2019-09-02T03:28:11.713,1.038,-69.695,48.537,-1.037
1567420091713,2019-09-02T03:28:11.713,1.038,-56.707,37.378,0.488
1567420091746,2019-09-02T03:28:11.746,1.071,-24.634,30.793,-0.976
1567420091746,2019-09-02T03:28:11.746,1.071,4.329,23.537,13.963
1567420091746,2019-09-02T03:28:11.746,1.071,28.537,51.037,15.732
1567420091825,2019-09-02T03:28:11.825,1.150,50.488,94.817,4.207
1567420091825,2019-09-02T03:28:11.825,1.150,61.037,131.220,-8.171
1567420091825,2019-09-02T03:28:11.825,1.150,62.866,148.476,-12.866
1567420091864,2019-09-02T03:28:11.864,1.189,64.207,130.122,-15.854
1567420091864,2019-09-02T03:28:11.864,1.189,67.317,80.305,-28.354
1567420091864,2019-09-02T03:28:11.864,1.189,74.573,33.659,-41.402
1567420091892,2019-09-02T03:28:11.892,1.217,79.268,10.732,-47.378
1567420091892,2019-09-02T03:28:11.892,1.217,85.000,-2.805,-64.207
1567420091892,2019-09-02T03:28:11.892,1.217,99.695,-0.610,-87.378
1567420091931,2019-09-02T03:28:11.931,1.256,109.512,1.159,-102.134
1567420091931,2019-09-02T03:28:11.931,1.256,106.829,-9.390,-107.683
1567420091931,2019-09-02T03:28:11.931,1.256,92.805,-23.598,-109.512
1567420091969,2019-09-02T03:28:11.969,1.294,75.793,-32.378,-109.512
1567420091969,2019-09-02T03:28:11.969,1.294,56.524,-40.915,-104.756
1567420091969,2019-09-02T03:28:11.969,1.294,24.817,-54.573,-96.098
1567420092015,2019-09-02T03:28:12.015,1.340,-0.305,-34.451,-86.463
1567420092015,2019-09-02T03:28:12.015,1.340,-10.915,-26.829,-69.756
1567420092015,2019-09-02T03:28:12.015,1.340,-25.244,-94.634,-59.878
1567420092059,2019-09-02T03:28:12.059,1.384,-44.085,-177.378,-57.134
1567420092059,2019-09-02T03:28:12.059,1.384,-51.707,-189.329,-57.927
1567420092059,2019-09-02T03:28:12.059,1.384,-39.939,-127.744,-54.817
1567420092110,2019-09-02T03:28:12.110,1.435,-31.159,-102.073,-41.159
1567420092110,2019-09-02T03:28:12.110,1.435,-30.183,-111.220,-26.220
1567420092110,2019-09-02T03:28:12.110,1.435,-10.854,-52.500,-22.988
1567420092165,2019-09-02T03:28:12.165,1.490,-16.402,-35.305,-5.061
1567420092165,2019-09-02T03:28:12.165,1.490,-14.695,8.293,13.720
1567420092165,2019-09-02T03:28:12.165,1.490,-25.000,20.671,13.720
1567420092203,2019-09-02T03:28:12.203,1.528,-19.451,58.476,7.744
1567420092203,2019-09-02T03:28:12.203,1.528,-12.134,99.695,11.341
1567420092203,2019-09-02T03:28:12.203,1.528,-4.146,100.671,21.463
1567420092261,2019-09-02T03:28:12.261,1.586,1.585,64.390,30.671
1567420092261,2019-09-02T03:28:12.261,1.586,5.244,14.817,40.610
1567420092261,2019-09-02T03:28:12.261,1.586,5.610,-30.122,53.049
1567420092293,2019-09-02T03:28:12.293,1.618,36.707,25.183,77.134
1567420092293,2019-09-02T03:28:12.293,1.618,45.976,70.427,107.927
1567420092293,2019-09-02T03:28:12.293,1.618,35.366,62.622,123.293
1567420092329,2019-09-02T03:28:12.329,1.654,21.829,9.939,124.939
1567420092329,2019-09-02T03:28:12.329,1.654,12.378,-14.756,123.720
1567420092329,2019-09-02T03:28:12.329,1.654,9.451,13.354,121.951
1567420092366,2019-09-02T03:28:12.366,1.691,-0.793,15.732,115.610
1567420092366,2019-09-02T03:28:12.366,1.691,-17.500,-25.183,96.768
1567420092366,2019-09-02T03:28:12.366,1.691,-22.866,-41.707,72.622
1567420092403,2019-09-02T03:28:12.403,1.728,-29.939,-21.220,55.122
1567420092403,2019-09-02T03:28:12.403,1.728,-33.598,18.049,34.756
1567420092403,2019-09-02T03:28:12.403,1.728,-35.488,32.988,14.207
1567420092466,2019-09-02T03:28:12.466,1.791,-42.805,19.695,-2.073
1567420092466,2019-09-02T03:28:12.466,1.791,-36.951,21.463,-12.256
1567420092466,2019-09-02T03:28:12.466,1.791,-31.707,13.354,-19.573
1567420092518,2019-09-02T03:28:12.518,1.843,-28.049,7.744,-26.646
1567420092518,2019-09-02T03:28:12.518,1.843,-22.988,5.976,-26.220
1567420092518,2019-09-02T03:28:12.518,1.843,-22.500,-8.902,-18.293
1567420092599,2019-09-02T03:28:12.599,1.924,-23.841,-22.439,-14.268
1567420092599,2019-09-02T03:28:12.599,1.924,-20.610,-2.866,-10.732
1567420092599,2019-09-02T03:28:12.599,1.924,-18.415,6.646,-1.098
1567420092651,2019-09-02T03:28:12.651,1.976,-22.805,-13.902,7.378
1567420092651,2019-09-02T03:28:12.651,1.976,-27.256,-37.195,8.598
1567420092651,2019-09-02T03:28:12.651,1.976,-27.622,-47.561,3.659
1567420092711,2019-09-02T03:28:12.711,2.036,-16.890,-46.402,1.707
1567420092711,2019-09-02T03:28:12.711,2.036,-3.232,-38.963,3.354
1567420092711,2019-09-02T03:28:12.711,2.036,5.732,-33.476,2.866
1567420092758,2019-09-02T03:28:12.758,2.083,3.354,-20.183,-4.878
1567420092758,2019-09-02T03:28:12.758,2.083,7.012,-12.744,-1.646
1567420092758,2019-09-02T03:28:12.758,2.083,7.378,-10.549,-0.610
1567420092825,2019-09-02T03:28:12.825,2.150,1.585,-24.146,5.854
1567420092825,2019-09-02T03:28:12.825,2.150,-5.000,-30.366,10.671
1567420092825,2019-09-02T03:28:12.825,2.150,-4.329,-20.915,13.232
1567420092894,2019-09-02T03:28:12.894,2.219,-2.622,-10.732,13.598
1567420092894,2019-09-02T03:28:12.894,2.219,-3.232,-11.037,14.207
1567420092894,2019-09-02T03:28:12.894,2.219,-4.207,-15.976,13.476
1567420092931,2019-09-02T03:28:12.931,2.256,-3.537,-9.573,12.378
1567420092931,2019-09-02T03:28:12.931,2.256,-5.305,-2.195,10.488
1567420092931,2019-09-02T03:28:12.931,2.256,-5.976,4.024,6.098
1567420092992,2019-09-02T03:28:12.992,2.317,-10.122,0.610,3.293
1567420092992,2019-09-02T03:28:12.992,2.317,-10.488,-0.427,4.024
1567420092992,2019-09-02T03:28:12.992,2.317,-9.268,2.378,9.207
1567420093095,2019-09-02T03:28:13.095,2.420,-10.305,4.756,8.354
1567420093095,2019-09-02T03:28:13.095,2.420,-9.268,3.963,5.366
1567420093095,2019-09-02T03:28:13.095,2.420,-11.159,-1.707,3.232
1567420093195,2019-09-02T03:28:13.195,2.520,-10.610,1.890,1.646
1567420093195,2019-09-02T03:28:13.195,2.520,-9.268,-0.671,1.707
1567420093195,2019-09-02T03:28:13.195,2.520,-6.220,-7.134,-1.890
1567420093246,2019-09-02T03:28:13.246,2.571,-2.805,-1.402,-1.159
1567420093246,2019-09-02T03:28:13.246,2.571,-0.122,5.610,1.707
1567420093246,2019-09-02T03:28:13.246,2.571,4.512,9.329,3.476
1567420093347,2019-09-02T03:28:13.347,2.672,3.354,5.427,5.976
1567420093347,2019-09-02T03:28:13.347,2.672,7.805,35.061,4.024
1567420093347,2019-09-02T03:28:13.347,2.672,16.829,87.561,4.207
1567420093393,2019-09-02T03:28:13.393,2.718,29.390,116.890,1.524
1567420093393,2019-09-02T03:28:13.393,2.718,28.354,95.427,5.427
1567420093393,2019-09-02T03:28:13.393,2.718,32.622,67.073,7.012
1567420093464,2019-09-02T03:28:13.464,2.789,42.012,41.402,4.024
1567420093464,2019-09-02T03:28:13.464,2.789,47.683,12.073,2.744
1567420093464,2019-09-02T03:28:13.464,2.789,47.073,-13.110,5.427
1567420093501,2019-09-02T03:28:13.501,2.826,35.244,-42.622,8.902
1567420093501,2019-09-02T03:28:13.501,2.826,15.854,-63.598,5.549
1567420093501,2019-09-02T03:28:13.501,2.826,0.671,-57.500,3.415
1567420093546,2019-09-02T03:28:13.546,2.871,-16.098,-51.098,6.585
1567420093546,2019-09-02T03:28:13.546,2.871,-34.146,-48.171,8.293
1567420093546,2019-09-02T03:28:13.546,2.871,-47.073,-47.927,4.451
1567420093636,2019-09-02T03:28:13.636,2.961,-54.878,-43.293,-4.878
1567420093636,2019-09-02T03:28:13.636,2.961,-54.756,-25.427,-15.915
1567420093636,2019-09-02T03:28:13.636,2.961,-50.427,-8.415,-22.317
1567420093686,2019-09-02T03:28:13.686,3.011,-42.195,-0.671,-30.061
1567420093686,2019-09-02T03:28:13.686,3.011,-36.524,-3.354,-42.378
1567420093686,2019-09-02T03:28:13.686,3.011,-27.866,-6.829,-54.817
1567420093732,2019-09-02T03:28:13.732,3.057,-16.707,8.476,-32.988
1567420093732,2019-09-02T03:28:13.732,3.057,-8.841,10.549,-21.646
1567420093732,2019-09-02T03:28:13.732,3.057,9.878,48.049,-29.024
1567420093834,2019-09-02T03:28:13.834,3.159,9.085,37.256,-19.878
1567420093834,2019-09-02T03:28:13.834,3.159,0.549,24.207,-25.732
1567420093834,2019-09-02T03:28:13.834,3.159,-4.939,17.622,-18.963
1567420093910,2019-09-02T03:28:13.910,3.235,-8.354,-4.878,-12.561
1567420093910,2019-09-02T03:28:13.910,3.235,-8.841,-9.451,-9.573
1567420093910,2019-09-02T03:28:13.910,3.235,-8.171,-6.646,-6.280
1567420093986,2019-09-02T03:28:13.986,3.311,-6.220,3.720,-3.110
1567420093986,2019-09-02T03:28:13.986,3.311,-5.854,-0.976,0.488
1567420093986,2019-09-02T03:28:13.986,3.311,-6.951,-13.293,6.220
1567420094028,2019-09-02T03:28:14.028,3.353,-6.280,-17.927,7.927
1567420094028,2019-09-02T03:28:14.028,3.353,-5.305,-24.085,6.890
1567420094028,2019-09-02T03:28:14.028,3.353,1.951,-16.707,1.585
1567420094070,2019-09-02T03:28:14.070,3.395,7.927,-5.915,-4.817
1567420094070,2019-09-02T03:28:14.070,3.395,9.634,-0.488,-9.085
1567420094070,2019-09-02T03:28:14.070,3.395,9.146,-0.061,-12.561
1567420094116,2019-09-02T03:28:14.116,3.441,6.280,-2.805,-19.695
1567420094116,2019-09-02T03:28:14.116,3.441,9.756,21.768,-17.927
1567420094116,2019-09-02T03:28:14.116,3.441,11.098,6.646,-22.744
1567420094193,2019-09-02T03:28:14.193,3.518,22.805,17.805,-32.195
1567420094193,2019-09-02T03:28:14.193,3.518,30.000,21.341,-33.598
1567420094193,2019-09-02T03:28:14.193,3.518,32.622,2.195,-41.768
1567420094228,2019-09-02T03:28:14.228,3.553,33.780,3.841,-44.207
1567420094228,2019-09-02T03:28:14.228,3.553,35.244,1.707,-44.451
1567420094228,2019-09-02T03:28:14.228,3.553,35.793,-3.171,-42.744
1567420094263,2019-09-02T03:28:14.263,3.588,31.768,-1.951,-32.500
1567420094263,2019-09-02T03:28:14.263,3.588,22.195,-5.793,-12.500
1567420094263,2019-09-02T03:28:14.263,3.588,8.171,-13.963,14.939
1567420094309,2019-09-02T03:28:14.309,3.634,2.317,-8.537,49.390
1567420094309,2019-09-02T03:28:14.309,3.634,10.671,-18.476,62.927
1567420094309,2019-09-02T03:28:14.309,3.634,13.659,-25.549,70.854
1567420094363,2019-09-02T03:28:14.363,3.688,9.207,3.780,81.768
1567420094363,2019-09-02T03:28:14.363,3.688,-5.244,34.695,88.720
1567420094363,2019-09-02T03:28:14.363,3.688,-23.659,35.305,86.341
1567420094495,2019-09-02T03:28:14.495,3.820,-38.963,27.439,70.976
1567420094495,2019-09-02T03:28:14.495,3.820,-57.256,20.305,46.159
1567420094495,2019-09-02T03:28:14.495,3.820,-77.439,3.598,-0.610
1567420094534,2019-09-02T03:28:14.534,3.859,-66.951,4.329,-35.976
1567420094534,2019-09-02T03:28:14.534,3.859,-13.171,13.476,-68.902
1567420094534,2019-09-02T03:28:14.534,3.859,-17.134,-60.854,-54.939
1567420094611,2019-09-02T03:28:14.611,3.936,8.598,24.756,-45.000
1567420094611,2019-09-02T03:28:14.611,3.936,24.329,15.122,-48.354
1567420094611,2019-09-02T03:28:14.611,3.936,8.110,-41.707,-57.988
1567420094656,2019-09-02T03:28:14.656,3.981,39.268,20.732,-48.780
1567420094656,2019-09-02T03:28:14.656,3.981,28.902,-4.207,-46.341
1567420094656,2019-09-02T03:28:14.656,3.981,20.671,2.500,-32.439
1567420094701,2019-09-02T03:28:14.701,4.026,10.610,-0.244,-10.732
1567420094701,2019-09-02T03:28:14.701,4.026,8.476,-8.293,12.134
1567420094701,2019-09-02T03:28:14.701,4.026,12.134,-26.951,16.402
1567420094744,2019-09-02T03:28:14.744,4.069,4.939,-54.878,17.866
1567420094744,2019-09-02T03:28:14.744,4.069,3.537,-72.805,25.427
1567420094744,2019-09-02T03:28:14.744,4.069,7.683,-85.793,24.878
1567420094807,2019-09-02T03:28:14.807,4.132,6.768,-80.732,16.037
1567420094807,2019-09-02T03:28:14.807,4.132,2.927,-65.671,3.902
1567420094807,2019-09-02T03:28:14.807,4.132,7.683,-47.195,-16.159
1567420094872,2019-09-02T03:28:14.872,4.197,4.146,-47.378,-31.159
1567420094872,2019-09-02T03:28:14.872,4.197,-15.549,-60.915,-39.451
1567420094872,2019-09-02T03:28:14.872,4.197,-33.415,-72.744,-49.817
1567420094923,2019-09-02T03:28:14.923,4.248,-52.622,-103.476,-54.756
1567420094923,2019-09-02T03:28:14.923,4.248,-52.073,-104.146,-51.341
1567420094923,2019-09-02T03:28:14.923,4.248,-42.195,-94.268,-46.037
1567420094970,2019-09-02T03:28:14.970,4.295,-18.171,-72.561,-41.951
1567420094970,2019-09-02T03:28:14.970,4.295,13.659,-21.037,-29.695
1567420094970,2019-09-02T03:28:14.970,4.295,38.780,22.927,-18.293
1567420095015,2019-09-02T03:28:15.015,4.340,58.110,68.476,-9.207
1567420095015,2019-09-02T03:28:15.015,4.340,73.293,126.524,-0.793
1567420095015,2019-09-02T03:28:15.015,4.340,74.451,210.976,5.854
1567420095060,2019-09-02T03:28:15.060,4.385,72.866,309.390,26.646
1567420095060,2019-09-02T03:28:15.060,4.385,69.695,350.122,47.500
1567420095060,2019-09-02T03:28:15.060,4.385,60.183,326.829,53.598
1567420095145,2019-09-02T03:28:15.145,4.470,53.598,295.671,37.805
1567420095145,2019-09-02T03:28:15.145,4.470,60.366,318.293,14.390
1567420095145,2019-09-02T03:28:15.145,4.470,63.354,331.220,2.012
1567420095191,2019-09-02T03:28:15.191,4.516,53.780,300.488,-1.341
1567420095191,2019-09-02T03:28:15.191,4.516,40.915,291.402,-8.841
1567420095191,2019-09-02T03:28:15.191,4.516,24.207,291.159,-12.439
1567420095246,2019-09-02T03:28:15.246,4.571,3.171,106.037,2.439
1567420095246,2019-09-02T03:28:15.246,4.571,-33.659,-102.378,15.122
1567420095246,2019-09-02T03:28:15.246,4.571,-20.549,44.634,12.439
1567420095305,2019-09-02T03:28:15.305,4.630,-8.171,165.671,5.183
1567420095305,2019-09-02T03:28:15.305,4.630,-13.171,139.390,-8.415
1567420095305,2019-09-02T03:28:15.305,4.630,-19.634,63.537,-2.500
